Mobile cellular subscriptions (per 100 people),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,
Afghanistan,0,0.101461694,0.778857478,2.247739392,4.345508797,8.867978979,16.0163366,26.47087999,34.33868725,41.38579639,54.26208022
Akrotiri and Dhekelia,,,,,,,,,,,
Albania,12.75923855,27.54243185,35.40733402,40.30867293,48.70596473,60.50436434,73.27070842,58.45331469,77.16738972,84.02413769,96.3933945
Algeria,0.322765829,1.431989621,4.533907979,15.0710173,41.53845929,62.88327422,81.29012327,78.51588828,93.64711494,92.42126075,98.9875902
American Samoa,3.67711016,3.411128051,3.455425017,3.63659873,,,,,,,
Andorra,44.32745895,47.49214258,71.87097489,77.51952399,82.88824979,86.39106593,78.02309866,77.74804122,77.14067187,77.17642345,75.48772704
Angola,0.521258883,0.940198411,2.269787897,4.6373295,9.770852982,17.95740315,28.31059686,37.55055726,43.70450412,46.68924162,48.37797435
Anguilla,,,,,,,,,,,
Antigua and Barbuda,31.5796122,47.45550076,56.41490039,65.18747435,102.4834358,129.6932385,130.7744225,157.2173433,153.6696203,189.3473115,181.6419676
Argentina,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257449,117.1083875,131.0023571,132.880086,134.9211144
Armenia,0.831884559,2.330853915,3.737199213,6.638418448,10.37341069,41.03667809,61.03775282,46.83206418,71.03776071,125.008538,103.5663737
Aruba,57.38228511,65.33045795,72.20851613,99.33667185,102.3971246,106.1522135,108.9815303,114.4798438,120.0615315,122.6183388,
Australia,57.43417616,64.62949928,72.31307069,81.97446237,90.27854017,95.25510508,100.662936,102.8176451,101.359218,101.0401114,108.3353549
Austria,81.37110499,83.33478699,89.42451257,97.6354316,105.257455,112.1813932,119.2810931,129.6601719,136.6128217,145.8365401,154.78324
Azerbaijan,8.911715903,9.591495525,12.61947826,17.17665126,26.1064926,38.1936029,51.22994958,73.21436558,85.55706194,99.0457981,108.7479044
Bahamas,20.07751835,39.81641656,39.4028388,59.09880885,71.32152631,78.06650497,113.7255558,107.3095147,106.0450765,124.9360558,86.0629767
Bahrain,46.62760113,60.58373698,68.46935244,96.72561629,105.8354845,111.8340913,120.55085,136.9097428,119.8700728,124.1842238,127.9641264
Bangladesh,0.394104846,0.800646905,0.999891821,2.006414024,6.401687906,13.43906744,23.87521729,30.68498876,35.65935407,46.16922196,56.48078539
Barbados,19.80334984,36.15636149,51.96945681,74.13973854,76.22466294,87.47777261,94.83760281,106.0555515,123.5787351,128.0721909,127.0117733
Belarus,1.381934322,4.64330238,11.27251693,22.68296241,41.72475767,60.96049811,71.54437581,83.96095733,100.5207961,107.6857389,111.8778807
Belgium,75.37754386,79.01070068,83.52658246,88.16946193,92.22683163,94.00841604,101.8917125,106.9753382,110.4521947,113.4612221,116.6127738
Belize,15.2602287,19.69375673,22.47469862,27.28711502,34.17014597,41.10996917,40.36312277,53.48001751,52.9744792,62.31841272,63.86666163
Benin,1.859749035,3.153221,3.296242723,6.208744678,7.810924555,13.41166535,25.29131017,43.38648489,58.51526389,79.94350666,85.33266549
Bermuda,21.12593485,47.32756989,62.83874008,76.67631641,82.20801497,93.4274344,106.9734272,122.183213,131.1687911,135.8155865,
Bhutan,0,0,0.361128772,2.979140722,5.460394696,12.16545301,21.70245766,36.13378522,47.49259106,54.31798771,65.58453784
Bolivia,9.200705132,11.83501049,14.50609018,20.04681775,26.4730877,30.90413747,34.38908471,52.3846526,66.14241596,72.30012259,82.80316785
Bosnia and Herzegovina,11.86411694,19.83059327,28.41317497,37.22051707,42.16785449,49.92135579,64.8426291,84.23152783,86.45204493,82.71568494,84.5173321
Botswana,18.61997737,18.37638674,24.31405034,28.22739781,30.05758466,43.29884976,59.75289748,76.00645992,94.57628675,117.7616228,142.8181774
Brazil,16.25182871,19.45513659,25.53128953,35.67944477,46.3528917,53.16001917,63.7414822,78.64616123,90.01936334,104.1024405,123.1758591
British Virgin Islands,,,,,,,,,,,
Brunei,42.77100506,44.98060512,50.85428548,56.87820803,64.13804689,81.38972826,96.98685873,103.681358,105.3708557,109.0704903,109.1696269
Bulgaria,19.50234789,32.91090742,44.65327494,60.72180897,80.69297329,107.3333056,129.5433297,137.3807092,138.6089602,136.1020835,140.6781236
Burkina Faso,0.602333531,0.852933459,1.777404654,2.871258739,4.462130866,6.952475421,12.33664652,19.49145802,23.92086098,34.65874749,45.27445884
Burundi,0.514119754,0.781241666,0.935841623,1.428503648,2.109930408,2.67581331,3.502953704,6.050115914,10.26103395,13.72445096,14.46035135
Cambodia,1.765952113,2.958298424,3.826638947,6.529502399,7.950545511,12.73797556,18.89791532,30.65260163,44.84220559,57.65042433,69.90473313
Cameroon,2.601632433,4.275374,6.417067947,8.918404823,12.83217922,17.47201351,24.71931641,32.84272035,41.74241623,44.0670489,52.35359201
Canada,34.38795765,37.95186883,42.0487335,47.02036605,52.71004029,57.46326052,61.48890022,66.28819759,70.70997244,70.66366699,75.27990824
Cape Verde,7.078697629,9.48646022,11.59530553,14.09217111,17.28144171,22.76092643,31.51237105,56.97302466,59.1148466,74.97414309,79.19314402
Cayman Islands,39.99905885,42.11272913,44.00292795,67.23290832,154.8653096,172.3246202,185.6233655,177.7972692,194.9303301,177.6471634,167.6743817
Central African Republic,0.292004286,0.329047189,1.02825781,1.518110681,2.48887473,2.691109114,4.8066062,5.899063252,15.73950564,22.24995802,25.04124843
Chad,0.258278289,0.387263383,0.7100804,1.298181533,2.145944237,4.622014864,8.854321784,15.01816917,20.85856666,25.61014279,31.80480042
Channel Islands,,,,,,,,,,,
Chile,32.68852617,39.56103371,45.54119844,57.40927978,64.83713442,75.60292184,83.89941018,88.09806834,97.01862561,116.0021265,129.7080782
